Num,d,hof,hxf,empaul,ersumpa,erpka
1,1,-10.4519,-12.76816416,1.36,8.14,31.08
2,2,-11.394,-13.05245161,1.54,8.14,31.08
3,3,-8.1533,-8.64200906,1.63,8.14,31.08
4,5,-6.2645,-9.92466078,1.66,8.14,31.08
5,5,-5.4945,-7.70656324,1.55,8.14,31.08
6,6,-6.4484,-8.33119627,1.83,8.14,31.08
7,7,-5.5968,-7.64763053,1.88,8.14,31.08
8,8,-4.7538,-7.88908882,1.92,8.14,31.08
9,10,-3.2591,-8.18771585,1.9,8.14,31.08
10,10,-2.1943,-6.47270069,1.65,8.14,31.08
11,1,-10.3982,-12.91351921,1.22,8.14,31.08
12,2,3.3227,-14.60466514,1.33,8.14,31.08
13,4,-12.0684,-17.72774303,1.59,8.14,31.08
14,5,-7.7098,-14.61204179,2.16,8.14,31.08
15,6,-6.1499,-6.47326001,1.91,8.14,31.08
16,7,-6.137,-12.40966286,2.2,8.14,31.08
17,8,-4.8408,-8.09691444,2.28,8.14,31.08
18,10,-2.8129,-6.68892889,2.2,8.14,31.08
19,10,-0.2972,-6.621642518,1.69,8.14,31.08
20,2,-13.5823,-14.73108494,1.32,8.14,31.08
21,3,-13.8793,-10.51946208,1.51,8.14,31.08
22,4,-9.6354,-15.07969703,2.36,8.14,31.08
23,5,-8.9307,-12.45488113,1.93,8.14,31.08
24,6,-6.2095,-20.2879156,2.18,8.14,31.08
25,7,-6.5139,-18.29152374,2.2,8.14,31.08
26,9,-3.3838,-11.02740733,2.28,8.14,31.08
27,1,-10.4519,-12.76816416,1.36,8.63,18.17
28,2,-11.394,-13.05245161,1.54,8.63,18.17
29,3,-8.1533,-8.64200906,1.63,8.63,18.17
30,5,-6.2645,-9.92466078,1.66,8.63,18.17
31,5,-5.4945,-7.70656324,1.55,8.63,18.17
32,6,-6.4484,-8.33119627,1.83,8.63,18.17
33,7,-5.5968,-7.64763053,1.88,8.63,18.17
34,8,-4.7538,-7.88908882,1.92,8.63,18.17
35,10,-3.2591,-8.18771585,1.9,8.63,18.17
36,10,-2.1943,-6.47270069,1.65,8.63,18.17
37,1,-10.3982,-12.91351921,1.22,8.63,18.17
38,2,3.3227,-14.60466514,1.33,8.63,18.17
39,4,-12.0684,-17.72774303,1.59,8.63,18.17
40,5,-7.7098,-14.61204179,2.16,8.63,18.17
41,6,-6.1499,-6.47326001,1.91,8.63,18.17
42,7,-6.137,-12.40966286,2.2,8.63,18.17
43,8,-4.8408,-8.09691444,2.28,8.63,18.17
44,10,-2.8129,-6.68892889,2.2,8.63,18.17
45,10,-0.2972,-6.621642518,1.69,8.63,18.17
46,2,-13.5823,-14.73108494,1.32,8.63,18.17
47,3,-13.8793,-10.51946208,1.51,8.63,18.17
48,4,-9.6354,-15.07969703,2.36,8.63,18.17
49,5,-8.9307,-12.45488113,1.93,8.63,18.17
50,6,-6.2095,-20.2879156,2.18,8.63,18.17
51,7,-6.5139,-18.29152374,2.2,8.63,18.17
52,9,-3.3838,-11.02740733,2.28,8.63,18.17
53,1,-10.4519,-12.76816416,1.36,9.12,5.25
54,2,-11.394,-13.05245161,1.54,9.12,5.25
55,3,-8.1533,-8.64200906,1.63,9.12,5.25
56,5,-6.2645,-9.92466078,1.66,9.12,5.25
57,5,-5.4945,-7.70656324,1.55,9.12,5.25
58,6,-6.4484,-8.33119627,1.83,9.12,5.25
59,7,-5.5968,-7.64763053,1.88,9.12,5.25
60,8,-4.7538,-7.88908882,1.92,9.12,5.25
61,10,-3.2591,-8.18771585,1.9,9.12,5.25
62,10,-2.1943,-6.47270069,1.65,9.12,5.25
63,1,-10.3982,-12.91351921,1.22,9.12,5.25
64,2,3.3227,-14.60466514,1.33,9.12,5.25
65,4,-12.0684,-17.72774303,1.59,9.12,5.25
66,5,-7.7098,-14.61204179,2.16,9.12,5.25
67,6,-6.1499,-6.47326001,1.91,9.12,5.25
68,7,-6.137,-12.40966286,2.2,9.12,5.25
69,8,-4.8408,-8.09691444,2.28,9.12,5.25
70,10,-2.8129,-6.68892889,2.2,9.12,5.25
71,10,-0.2972,-6.621642518,1.69,9.12,5.25
72,2,-13.5823,-14.73108494,1.32,9.12,5.25
73,3,-13.8793,-10.51946208,1.51,9.12,5.25
74,4,-9.6354,-15.07969703,2.36,9.12,5.25
75,5,-8.9307,-12.45488113,1.93,9.12,5.25
76,6,-6.2095,-20.2879156,2.18,9.12,5.25
77,7,-6.5139,-18.29152374,2.2,9.12,5.25
78,9,-3.3838,-11.02740733,2.28,9.12,5.25
79,1,-10.4519,-12.76816416,1.36,10.69,34.31
80,2,-11.394,-13.05245161,1.54,10.69,34.31
81,3,-8.1533,-8.64200906,1.63,10.69,34.31
82,5,-6.2645,-9.92466078,1.66,10.69,34.31
83,5,-5.4945,-7.70656324,1.55,10.69,34.31
84,6,-6.4484,-8.33119627,1.83,10.69,34.31
85,7,-5.5968,-7.64763053,1.88,10.69,34.31
86,8,-4.7538,-7.88908882,1.92,10.69,34.31
87,10,-3.2591,-8.18771585,1.9,10.69,34.31
88,10,-2.1943,-6.47270069,1.65,10.69,34.31
89,1,-10.3982,-12.91351921,1.22,10.69,34.31
90,2,3.3227,-14.60466514,1.33,10.69,34.31
91,4,-12.0684,-17.72774303,1.59,10.69,34.31
92,5,-7.7098,-14.61204179,2.16,10.69,34.31
93,6,-6.1499,-6.47326001,1.91,10.69,34.31
94,7,-6.137,-12.40966286,2.2,10.69,34.31
95,8,-4.8408,-8.09691444,2.28,10.69,34.31
96,10,-2.8129,-6.68892889,2.2,10.69,34.31
97,10,-0.2972,-6.621642518,1.69,10.69,34.31
98,2,-13.5823,-14.73108494,1.32,10.69,34.31
99,3,-13.8793,-10.51946208,1.51,10.69,34.31
100,4,-9.6354,-15.07969703,2.36,10.69,34.31
101,5,-8.9307,-12.45488113,1.93,10.69,34.31
102,6,-6.2095,-20.2879156,2.18,10.69,34.31
103,7,-6.5139,-18.29152374,2.2,10.69,34.31
104,9,-3.3838,-11.02740733,2.28,10.69,34.31
105,1,-10.4519,-12.76816416,1.36,11.18,24.63
106,2,-11.394,-13.05245161,1.54,11.18,24.63
107,3,-8.1533,-8.64200906,1.63,11.18,24.63
108,5,-6.2645,-9.92466078,1.66,11.18,24.63
109,5,-5.4945,-7.70656324,1.55,11.18,24.63
110,6,-6.4484,-8.33119627,1.83,11.18,24.63
111,7,-5.5968,-7.64763053,1.88,11.18,24.63
112,8,-4.7538,-7.88908882,1.92,11.18,24.63
113,10,-3.2591,-8.18771585,1.9,11.18,24.63
114,10,-2.1943,-6.47270069,1.65,11.18,24.63
115,1,-10.3982,-12.91351921,1.22,11.18,24.63
116,2,3.3227,-14.60466514,1.33,11.18,24.63
117,4,-12.0684,-17.72774303,1.59,11.18,24.63
118,5,-7.7098,-14.61204179,2.16,11.18,24.63
119,6,-6.1499,-6.47326001,1.91,11.18,24.63
120,7,-6.137,-12.40966286,2.2,11.18,24.63
121,8,-4.8408,-8.09691444,2.28,11.18,24.63
122,10,-2.8129,-6.68892889,2.2,11.18,24.63
123,10,-0.2972,-6.621642518,1.69,11.18,24.63
124,2,-13.5823,-14.73108494,1.32,11.18,24.63
125,3,-13.8793,-10.51946208,1.51,11.18,24.63
126,4,-9.6354,-15.07969703,2.36,11.18,24.63
127,5,-8.9307,-12.45488113,1.93,11.18,24.63
128,6,-6.2095,-20.2879156,2.18,11.18,24.63
129,7,-6.5139,-18.29152374,2.2,11.18,24.63
130,9,-3.3838,-11.02740733,2.28,11.18,24.63
131,1,-10.4519,-12.76816416,1.36,11.67,14.94
132,2,-11.394,-13.05245161,1.54,11.67,14.94
133,3,-8.1533,-8.64200906,1.63,11.67,14.94
134,5,-6.2645,-9.92466078,1.66,11.67,14.94
135,5,-5.4945,-7.70656324,1.55,11.67,14.94
136,6,-6.4484,-8.33119627,1.83,11.67,14.94
137,7,-5.5968,-7.64763053,1.88,11.67,14.94
138,8,-4.7538,-7.88908882,1.92,11.67,14.94
139,10,-3.2591,-8.18771585,1.9,11.67,14.94
140,10,-2.1943,-6.47270069,1.65,11.67,14.94
141,1,-10.3982,-12.91351921,1.22,11.67,14.94
142,2,3.3227,-14.60466514,1.33,11.67,14.94
143,4,-12.0684,-17.72774303,1.59,11.67,14.94
144,5,-7.7098,-14.61204179,2.16,11.67,14.94
145,6,-6.1499,-6.47326001,1.91,11.67,14.94
146,7,-6.137,-12.40966286,2.2,11.67,14.94
147,8,-4.8408,-8.09691444,2.28,11.67,14.94
148,10,-2.8129,-6.68892889,2.2,11.67,14.94
149,10,-0.2972,-6.621642518,1.69,11.67,14.94
150,2,-13.5823,-14.73108494,1.32,11.67,14.94
151,3,-13.8793,-10.51946208,1.51,11.67,14.94
152,4,-9.6354,-15.07969703,2.36,11.67,14.94
153,5,-8.9307,-12.45488113,1.93,11.67,14.94
154,6,-6.2095,-20.2879156,2.18,11.67,14.94
155,7,-6.5139,-18.29152374,2.2,11.67,14.94
156,9,-3.3838,-11.02740733,2.28,11.67,14.94
157,1,-10.4519,-12.76816416,1.36,10.2,15
158,2,-11.394,-13.05245161,1.54,10.2,15
159,3,-8.1533,-8.64200906,1.63,10.2,15
160,5,-6.2645,-9.92466078,1.66,10.2,15
161,5,-5.4945,-7.70656324,1.55,10.2,15
162,6,-6.4484,-8.33119627,1.83,10.2,15
163,7,-5.5968,-7.64763053,1.88,10.2,15
164,8,-4.7538,-7.88908882,1.92,10.2,15
165,10,-3.2591,-8.18771585,1.9,10.2,15
166,10,-2.1943,-6.47270069,1.65,10.2,15
167,1,-10.3982,-12.91351921,1.22,10.2,15
168,2,3.3227,-14.60466514,1.33,10.2,15
169,4,-12.0684,-17.72774303,1.59,10.2,15
170,5,-7.7098,-14.61204179,2.16,10.2,15
171,6,-6.1499,-6.47326001,1.91,10.2,15
172,7,-6.137,-12.40966286,2.2,10.2,15
173,8,-4.8408,-8.09691444,2.28,10.2,15
174,10,-2.8129,-6.68892889,2.2,10.2,15
175,10,-0.2972,-6.621642518,1.69,10.2,15
176,2,-13.5823,-14.73108494,1.32,10.2,15
177,3,-13.8793,-10.51946208,1.51,10.2,15
178,4,-9.6354,-15.07969703,2.36,10.2,15
179,5,-8.9307,-12.45488113,1.93,10.2,15
180,6,-6.2095,-20.2879156,2.18,10.2,15
181,7,-6.5139,-18.29152374,2.2,10.2,15
182,9,-3.3838,-11.02740733,2.28,10.2,15
183,1,-10.4519,-12.76816416,1.36,10.69,15.38
184,2,-11.394,-13.05245161,1.54,10.69,15.38
185,3,-8.1533,-8.64200906,1.63,10.69,15.38
186,5,-6.2645,-9.92466078,1.66,10.69,15.38
187,5,-5.4945,-7.70656324,1.55,10.69,15.38
188,6,-6.4484,-8.33119627,1.83,10.69,15.38
189,7,-5.5968,-7.64763053,1.88,10.69,15.38
190,8,-4.7538,-7.88908882,1.92,10.69,15.38
191,10,-3.2591,-8.18771585,1.9,10.69,15.38
192,10,-2.1943,-6.47270069,1.65,10.69,15.38
193,1,-10.3982,-12.91351921,1.22,10.69,15.38
194,2,3.3227,-14.60466514,1.33,10.69,15.38
195,4,-12.0684,-17.72774303,1.59,10.69,15.38
196,5,-7.7098,-14.61204179,2.16,10.69,15.38
197,6,-6.1499,-6.47326001,1.91,10.69,15.38
198,7,-6.137,-12.40966286,2.2,10.69,15.38
199,8,-4.8408,-8.09691444,2.28,10.69,15.38
200,10,-2.8129,-6.68892889,2.2,10.69,15.38
201,10,-0.2972,-6.621642518,1.69,10.69,15.38
202,2,-13.5823,-14.73108494,1.32,10.69,15.38
203,3,-13.8793,-10.51946208,1.51,10.69,15.38
204,4,-9.6354,-15.07969703,2.36,10.69,15.38
205,5,-8.9307,-12.45488113,1.93,10.69,15.38
206,6,-6.2095,-20.2879156,2.18,10.69,15.38
207,7,-6.5139,-18.29152374,2.2,10.69,15.38
208,9,-3.3838,-11.02740733,2.28,10.69,15.38
209,1,-10.4519,-12.76816416,1.36,11.18,15.75
210,2,-11.394,-13.05245161,1.54,11.18,15.75
211,3,-8.1533,-8.64200906,1.63,11.18,15.75
212,5,-6.2645,-9.92466078,1.66,11.18,15.75
213,5,-5.4945,-7.70656324,1.55,11.18,15.75
214,6,-6.4484,-8.33119627,1.83,11.18,15.75
215,7,-5.5968,-7.64763053,1.88,11.18,15.75
216,8,-4.7538,-7.88908882,1.92,11.18,15.75
217,10,-3.2591,-8.18771585,1.9,11.18,15.75
218,10,-2.1943,-6.47270069,1.65,11.18,15.75
219,1,-10.3982,-12.91351921,1.22,11.18,15.75
220,2,3.3227,-14.60466514,1.33,11.18,15.75
221,4,-12.0684,-17.72774303,1.59,11.18,15.75
222,5,-7.7098,-14.61204179,2.16,11.18,15.75
223,6,-6.1499,-6.47326001,1.91,11.18,15.75
224,7,-6.137,-12.40966286,2.2,11.18,15.75
225,8,-4.8408,-8.09691444,2.28,11.18,15.75
226,10,-2.8129,-6.68892889,2.2,11.18,15.75
227,10,-0.2972,-6.621642518,1.69,11.18,15.75
228,2,-13.5823,-14.73108494,1.32,11.18,15.75
229,3,-13.8793,-10.51946208,1.51,11.18,15.75
230,4,-9.6354,-15.07969703,2.36,11.18,15.75
231,5,-8.9307,-12.45488113,1.93,11.18,15.75
232,6,-6.2095,-20.2879156,2.18,11.18,15.75
233,7,-6.5139,-18.29152374,2.2,11.18,15.75
234,9,-3.3838,-11.02740733,2.28,11.18,15.75
235,1,-10.4519,-12.76816416,1.36,11.67,16.13
236,2,-11.394,-13.05245161,1.54,11.67,16.13
237,3,-8.1533,-8.64200906,1.63,11.67,16.13
238,5,-6.2645,-9.92466078,1.66,11.67,16.13
239,5,-5.4945,-7.70656324,1.55,11.67,16.13
240,6,-6.4484,-8.33119627,1.83,11.67,16.13
241,7,-5.5968,-7.64763053,1.88,11.67,16.13
242,8,-4.7538,-7.88908882,1.92,11.67,16.13
243,10,-3.2591,-8.18771585,1.9,11.67,16.13
244,10,-2.1943,-6.47270069,1.65,11.67,16.13
245,1,-10.3982,-12.91351921,1.22,11.67,16.13
246,2,3.3227,-14.60466514,1.33,11.67,16.13
247,4,-12.0684,-17.72774303,1.59,11.67,16.13
248,5,-7.7098,-14.61204179,2.16,11.67,16.13
249,6,-6.1499,-6.47326001,1.91,11.67,16.13
250,7,-6.137,-12.40966286,2.2,11.67,16.13
251,8,-4.8408,-8.09691444,2.28,11.67,16.13
252,10,-2.8129,-6.68892889,2.2,11.67,16.13
253,10,-0.2972,-6.621642518,1.69,11.67,16.13
254,2,-13.5823,-14.73108494,1.32,11.67,16.13
255,3,-13.8793,-10.51946208,1.51,11.67,16.13
256,4,-9.6354,-15.07969703,2.36,11.67,16.13
257,5,-8.9307,-12.45488113,1.93,11.67,16.13
258,6,-6.2095,-20.2879156,2.18,11.67,16.13
259,7,-6.5139,-18.29152374,2.2,11.67,16.13
260,9,-3.3838,-11.02740733,2.28,11.67,16.13
